Mouse gene name	Gene name
Gm22894	RNU6-871P
Gm26501	RNU6-35P
Gm25054	RNU6-1157P
Gm25423	RNU6-1157P
Gm24477	RNU6-1157P
Gm27639	RNU4-85P
Gm24695	RNU4-85P
Gm23405	RNU1-63P
Gm22809	RNU1-63P
Gm25650	RNU1-63P
Gm23482	SNORA24
Gm22586	RNA5SP486
Gm24888	SNORA3B
Gm23058	U6
Gm25201	RNU1-120P
Gm23316	RNU6-591P
Gm27443	HOTAIR_3
Gm22611	RNU1-52P
Gm24461	RNU6-1074P
Gm27321	FTX_5
Gm27747	DLEU2_5
Gm22259	RNU6-91P
Gm27928	DLEU1_2
Gm25403	VTRNA1-3
Vaultrc5	VTRNA1-3
Gm22879	SNORD36B
Gm26287	SNORD11B
n-R5s217	RNA5SP385
Gm22275	RN7SKP27
Gm23302	RNU6-364P
Gm22686	RNU6-881P
Snord2	SNORD2
Gm25271	RN7SKP212
Snord7	SNORD7
Gm24893	RN7SKP204
Gm27544	RMST_10
Gm22847	RNU1-58P
Gm24162	RNU6-482P
Gm24174	RNA5SP182
Dlx6os1	Evf-2_5p
Gm24674	RNU6-95P
Gm27580	CDKN2B-AS
Gm27898	HOXB13-AS1_2
Gm22876	RN7SL28P
Gm22490	SNORA40
Gm25821	SNORA21B
Gm27326	SNORA21B
Snord59a	SNORD59A
Gm23926	RNU6-748P
Gm27733	XIST_intron
Gm23893	SNORA71A
Gm26003	SNORA71A
Gm22527	RNA5SP382
Gm23516	RNU6-710P
Gm23588	RNU6-501P
Gm26047	SNORA50C
Gm22711	SNORA50C
Gm23786	SNORA50C
Gm22373	SNORD116-19
Gm24491	RNU6-199P
Gm23350	RNU6-629P
Gm22995	RNU6-1260P
Gm22045	RNU6-60P
Gm23125	RNU6-346P
Gm22160	RN7SKP238
Gm27761	ZEB2_AS1_1
Gm27853	RN7SL823P
Gm25293	RN7SKP57
Gm27899	GNAS-AS1_1
Gm26139	RNU6-162P
Snora68	SNORA68B
Gm22967	RN7SKP19
Gm22600	RN7SKP19
Snora69	SNORA69
Gm22067	RNU6-1312P
Gm22843	SNORA25
n-R5s164	RNA5SP167
Gm24750	RNU6-415P
Gm24847	RNU6-415P
Gm27404	ZEB2_AS1_3
Snord14a	SNORD14B
Gm25923	RNA5SP435
Scarna10	SCARNA10
Gm23500	RNU6-241P
Gm24724	RNU6-241P
Gm24524	RNU1-142P
Snord104	SNORD104
n-R5s43	RNA5SP462
Gm22508	Y_RNA
Gm24372	Y_RNA
Gm25684	RNU6-1275P
Gm24805	U6
Gm27866	HOTTIP_4
Gm23104	RNU6-435P
Gm22373	SNORD116-14
Gm24764	RNU2-44P
Gm24615	SNORA20
Gm27853	RN7SL789P
Gm24764	RNU2-3P
Gm22764	RNU6-1308P
Gm25163	RNU6-1308P
Gm23692	RNU1-74P
Gm22731	RNA5SP373
Gm24145	RNU1-119P
n-R5s45	RNA5SP22
Gm24747	RNA5SP22
n-R5s72	RNA5SP22
Gm23500	RNU6-912P
Gm24724	RNU6-912P
Gm26501	RNU6-1119P
n-R5s19	RNA5SP262
Gm22054	U1
Gm26020	RNU2-68P
Gm24391	RNU6-833P
Snord111	SNORD111
Gm26147	SNORA24B
Map4k5	MAP4K5
Sav1	SAV1
Irf3	IRF3
Ttc12	TTC12
Samd1	SAMD1
Papd7	PAPD7
Slc25a10	AC139530.2
Mrpl12	MRPL12
Zc3h11a	ZC3H11A
Fxyd6	FXYD6
Myh14	MYH14
Mybph	MYBPH
Spred3	SPRED3
Snapc4	SNAPC4
Asb7	ASB7
Nup88	NUP88
Pid1	PID1
Ccdc85b	CCDC85B
Cd34	CD34
Bace1	BACE1
mt-Nd1	MT-ND1
mt-Nd2	MT-ND2
mt-Co1	MT-CO1
mt-Co2	MT-CO2
Lmod1	LMOD1
Irx1	IRX1
mt-Atp8	MT-ATP8
Pakap	AKAP2
mt-Atp6	MT-ATP6
mt-Co3	MT-CO3
Rhbdf2	RHBDF2
mt-Nd3	MT-ND3
mt-Nd4l	MT-ND4L
Prg3	PRG3
Slc5a9	SLC5A9
mt-Nd4	MT-ND4
Slc23a1	SLC23A1
mt-Nd5	MT-ND5
mt-Nd6	MT-ND6
Washc2	WASHC2A
mt-Cytb	MT-CYB
Cd53	CD53
Nid1	NID1
Megf9	MEGF9
Scrt2	SCRT2
Ubash3a	UBASH3A
Flywch2	FLYWCH2
Pet100	PET100
Plppr3	PLPPR3
Meig1	MEIG1
Exoc3l	EXOC3L1
Cd46	CD46
Ighv3-8	IGHV4-28
Ighv3-1	IGHV4-28
Ighv3-3	IGHV4-28
Ighv3-5	IGHV4-28
Ighv3-4	IGHV4-28
Ighv3-6	IGHV4-28
Ighv12-3	IGHV4-28
Msh3	MSH3
Mecr	MECR
Cyp11a1	CYP11A1
4833427G06Rik	C11orf88
Btg4	BTG4
Mvb12b	MVB12B
Clstn2	CLSTN2
Tox2	TOX2
Uba3	UBA3
Tox	TOX
Foxn3	FOXN3
Slc36a1	SLC36A1
Ighv3-8	IGHV6-1
Ighv3-1	IGHV6-1
Ighv3-3	IGHV6-1
Ighv3-5	IGHV6-1
Ighv3-4	IGHV6-1
Ighv3-6	IGHV6-1
Ighv12-3	IGHV6-1
C8b	C8B
Kcnj11	KCNJ11
Odf1	ODF1
Tom1	TOM1
Mtcp1	MTCP1
Ubqln4	UBQLN4
Exosc7	EXOSC7
Trim34a	TRIM34
Trim34b	TRIM34
Gngt2	GNGT2
B3galnt2	B3GALNT2
1700042G07Rik	AL672043.1
Spatc1l	SPATC1L
AL670603.1	PIK3R3
Pik3r3	PIK3R3
Nova2	NOVA2
Hbb-bt	HBD
Hbb-bs	HBD
Efna2	EFNA2
Isx	ISX
Hspa12a	HSPA12A
Xrcc4	XRCC4
Cacfd1	CACFD1
Cyb5rl	CYB5RL
Ccnjl	CCNJL
Gm11555	KRTAP4-7
Krtap4-2	KRTAP4-7
Krtap4-1	KRTAP4-7
Krtap4-7	KRTAP4-7
Gm11563	KRTAP4-7
Armc5	ARMC5
Gm7271	EXOC1L
Olfr984	OR4D5
Ssh2	SSH2
Tex261	AC007040.2
Adamts13	ADAMTS13
Wdhd1	WDHD1
Apom	APOM
Dpp3	DPP3
Pkn3	PKN3
Faiml	FAIM
Faim	FAIM
Syn3	SYN3
