Human gene name	Gene name
	mt-Tp
	mt-Tt
MT-CYB	mt-Cytb
	mt-Te
MT-ND6	mt-Nd6
MT-ND5	mt-Nd5
	mt-Tl2
	mt-Ts2
	mt-Th
MT-ND4	mt-Nd4
MT-ND4L	mt-Nd4l
	mt-Tr
MT-ND3	mt-Nd3
	mt-Tg
MT-CO3	mt-Co3
MT-ATP6	mt-Atp6
MT-ATP8	mt-Atp8
	mt-Tk
MT-CO2	mt-Co2
	mt-Td
	mt-Ts1
MT-CO1	mt-Co1
	mt-Ty
	mt-Tc
	mt-Tn
	mt-Ta
	mt-Tw
MT-ND2	mt-Nd2
	mt-Tm
	mt-Tq
	mt-Ti
MT-ND1	mt-Nd1
	mt-Tl1
	mt-Rnr2
	mt-Tv
	mt-Rnr1
	mt-Tf
	Gm25109
	Mir6405
RF00402	Gm24539
SNORA25B	Gm24539
SNORA25	Gm24539
RF00402	Gm24539
	Mir6351
RNU6-446P	Gm26111
RNU6-210P	Gm26111
	Mir7659
RN7SKP24	Gm26407
	Gm23126
	Mir207
SNORD116-3	Snord116l10
SNORD116-8	Snord116l10
SNORD116-4	Snord116l10
SNORD116-7	Snord116l10
SNORD116-5	Snord116l10
SNORD116-1	Snord116l10
SNORD116-6	Snord116l10
SNORD116-2	Snord116l10
SNORD116-9	Snord116l10
RF00108	Snord116l10
	Gm23768
	Mir875
	5730596B20Rik
	Gm23253
	Gm25547
	Gm24308
	Gm24290
	Mir342
MOCOS	Mocos
	Gm22587
	Mir137
	Mir32
	Mir6970
RF01874	Gm27357
	Gm26464
	Gm23816
RNU6-101P	Gm25482
RF02271	Gm27401
	Gm26145
	Mir1981
	Gm23259
	Mir449c
	Gm22804
RN7SKP224	Gm26274
	Gm26295
	Mir1897
	Gm24625
	Gm23148
RNU7-48P	Gm23665
	Gm22694
	Gm27907
RF00554	Gm23343
RF00554	Gm23343
RF00554	Gm23343
RF00554	Gm23343
SNORA48	Gm23343
RF00554	Gm23343
RF00554	Gm23343
RF00554	Gm23343
RF00554	Gm23343
RF00554	Gm23343
SNORA48B	Gm23343
RF00554	Gm23343
RF00554	Gm23343
	Gm25880
	Gm25821
	Mir141
VAPA	Vapa
	Gm25823
	Gm23007
NDC80	Ndc80
	Gm23028
	Gm25910
	Mir292
	Mir6236
TAF4B	Taf4b
	Gm22261
	Mir204
	Gm25285
RNU7-48P	Gm24249
	Gm24845
	Gm26283
RF00340	Snora36b
	Gm27989
RF01876	Gm27882
	Gm22563
	Gm22623
	Mir200a
	Gm24546
	Mir6926
	Mir28a
	Gm27847
	Mir471
SNORD116-3	Gm26246
SNORD116-8	Gm26246
SNORD116-4	Gm26246
SNORD116-7	Gm26246
SNORD116-5	Gm26246
SNORD116-1	Gm26246
SNORD116-6	Gm26246
SNORD116-2	Gm26246
SNORD116-9	Gm26246
RF00108	Gm26246
	Gm22932
RF02137	Gm28032
	CR524822.1
RF01880	Gm27520
	Gm26179
	Gm25433
RNU6-1098P	Gm24997
	Mir6907
	Gm24643
	Mir7670
RN7SKP245	Gm24190
	Gm26480
RF00012	Rnu3b1
	Gm24394
RNU6-6P	Gm23924
	Gm22672
	Gm23136
	Mir6398
RNU6-6P	Gm24978
	Gm22305
	Mir101a
RF02219	Gm27884
	Mir1947
	Mir425
	Tcp10c
	Gm22846
	Gm25270
SNORD114-27	Gm23508
RN7SL144P	Gm22567
	Gm27341
RNU6-1184P	Gm22542
RNU6-1034P	Gm23677
	n-R5s149
	Gm25731
	Gm22414
	Gm26377
	Gm22368
	Gm23100
	Gm26362
SYT4	Syt4
	Mir7016
	Gm23588
	Mir29a
	Gm25012
RF00561	Gm25151
TAGAP	Tagap1
	Gm22072
	Gm22396
	Gm22595
RN7SKP218	Gm24442
	Gm24170
SNORD125	Gm24958
SNORD84	Gm22589
	Gm23096
	Gm25308
	Mir5103
RNA5SP29	Gm23668
	Gm26025
RNU6-1281P	Gm24527
SNORA67	Gm24029
	Mir93
	Mir7017
SP110	AC133103.4
	Gm26379
RNU7-48P	Gm24390
	Gm25865
	Gm24088
	Gm27452
	Mir743b
	Gm23705
	Mir142b
	Mir450-2
CCDC87	Ccdc87
RNU6-1246P	Gm22605
MIR1282	Gm22953
	Gm23951
	Mir302d
RF00394	Gm25582
RF00394	Gm25582
RF00394	Gm25582
	Gm24155
	Mir7010
RNA5SP201	n-R5s79
	Zfp51
	Mir3620
	Gm24911
	n-R5s62
	Gm23181
	Mir6400
	Gm24235
	Mir203
RNU6-1189P	Gm24521
	2610318N02Rik
	Gm22144
	Gm23831
SNORD93	Snord93
	n-R5s113
	Gm22927
	Gm27353
SNORD68	Snord68
	Gm26150
RNU7-48P	Gm23779
SNORA24	Gm23012
	Gm22823
	Mir6925
	Gm25382
	Mir452
	Gm23904
	Mir6965
	Gm22949
	Gm23972
SNORD116-3	Snord116l3
SNORD116-8	Snord116l3
SNORD116-4	Snord116l3
SNORD116-7	Snord116l3
SNORD116-5	Snord116l3
SNORD116-1	Snord116l3
SNORD116-6	Snord116l3
SNORD116-2	Snord116l3
SNORD116-9	Snord116l3
RF00108	Snord116l3
	4933427I04Rik
RF02248	Gm27610
	Gm23803
SNORA50D	Gm26047
RNU6-635P	Gm22321
	Mir703
	Gm21170
	Gm44310
SNORA33	Snora33
RF02164	Gm27913
	Gm22884
	Gm3618
	Gm25817
SNORA24	Gm24918
	Mir5132
RF00393	Gm25791
	Gm23270
	Gm22015
RNU6-22P	Gm22911
	Mir383
	Gm20939
	Gm24999
CCDC188	Ccdc188
	Gm23079
	Mir6949
	Gm27690
	Gm25764
RNA5SP253	n-R5s158
RNA5SP526	n-R5s158
RNA5SP342	n-R5s158
RF00001	n-R5s158
RNA5SP254	n-R5s158
RNA5SP153	n-R5s158
	Gm44349
RNU6-43P	Gm25794
RNU6-1216P	Gm25794
	Mir23b
	Gm24267
CCDC178	Ccdc178
RF02174	Gm27301
HS3ST6	Hs3st6
SNORA65	Gm22807
	Mir6973b
	Gm24031
	Gm23190
	Gm25076
	Gm24384
	Gm22544
	Gm25988
	Gm27438
RF00024	Terc
	Gm23465
	Gm44493
	Gm23127
RF00554	Gm25771
RF00554	Gm25771
RF00554	Gm25771
RF00554	Gm25771
SNORA48	Gm25771
RF00554	Gm25771
RF00554	Gm25771
RF00554	Gm25771
RF00554	Gm25771
RF00554	Gm25771
SNORA48B	Gm25771
RF00554	Gm25771
RF00554	Gm25771
	Gm26317
	Gm22067
RNU1-36P	Gm24038
RNU1-34P	Gm24038
	Mir3099
	Gm23400
	Mir1932
LZTR1	Lztr1
SNORD49A	Snord49a
SNORD99	Snord99
	Gm25675
	Mir6342
RNU7-48P	Gm23859
RNA5SP303	Gm25358
RNA5SP498	Gm25358
	Gm24621
SCYL1	Scyl1
ATRNL1	Atrnl1
	Mir7212
	Gm10283
	Mir7219
	Mir7684
	Gm25462
	Gm24816
CTNNA1	Ctnna1
	Gm26496
	Gm23159
RF00554	Gm24475
RF00554	Gm24475
RF00554	Gm24475
RF00554	Gm24475
SNORA48	Gm24475
RF00554	Gm24475
RF00554	Gm24475
RF00554	Gm24475
RF00554	Gm24475
RF00554	Gm24475
SNORA48B	Gm24475
RF00554	Gm24475
RF00554	Gm24475
RF00560	Gm23340
RF00560	Gm23340
RF00560	Gm23340
	Mir7067
	Gm22939
	Mir6919
	Gm24526
	Gm23618
	Zfp869
CRAMP1	Cramp1l
	Mir691
	Gm23673
	Gm25915
RF02271	Gm27617
	Gm22761
RF00334	Gm24888
SNORA3B	Gm24888
RF00334	Gm24888
RF00334	Gm24888
SNORA3C	Gm24888
	Mir5617
	Gm22207
	Gm25387
	Gm25604
	Gm25767
	Gm25249
	Gm22920
	Gm23276
RNU1-143P	Gm24720
RNU1-140P	Gm24720
RF00003	Gm24720
RF00003	Gm24720
RF00003	Gm24720
RNU1-6P	Gm24720
RNU1-5P	Gm24720
RNU1-68P	Gm24720
	Gm27449
RN7SKP52	Gm23149
RN7SKP21	Gm23149
	Gm24690
RF01947	Gm27389
RNU6-526P	Gm22236
	Mir7027
	Mir369
	Gm26326
	Mir151
	Gm23882
	Gm23917
SNORD111	Snord111
	Mir7678
	Gm10025
	Gm22180
RNU6-64P	Gm22808
RNU6-616P	Gm22808
RNU6-90P	Gm22808
	Gm26232
	Gm44319
	Gm23039
	Mir744
	Gm22639
RNU6-551P	Gm23622
RNU1-142P	Gm24030
	Gm47311
KRTAP24-1	Krtap24-1
	Gm24316
RF02142	Gm27543
RNU1-98P	Gm25201
RF02159	Gm28016
RNU6-1245P	Gm22935
RNU6-514P	Gm24099
FECH	Fech
	Gm24406
	Gm44397
	Gm22274
	Mir149
	Gm44385
	Gm26006
	Gm23845
	Mir2861
	Gm26248
	Mir653
	Gm25442
RNU6-31P	Gm25698
RNU6-889P	Gm23219
RNU6-399P	Gm23219
RNU6-495P	Gm25851
	Gm26249
RNA5SP471	Gm25625
	Gm23234
	Gm22492
	Gm26034
	Mir3108
	Gm24136
RNU1-105P	Gm23000
	Gm27284
	Mir331
	Gm25877
	Mir6920
CATSPERD	Catsperd
SNORD114-14	Gm23736
RF00181	Gm23736
	Gm25189
	Gm23272
	n-R5s141
FZD8	Fzd8
	Gm23453
	Gm23189
RNA5SP516	n-R5s205
SNORD116-3	Gm25471
SNORD116-8	Gm25471
SNORD116-4	Gm25471
SNORD116-7	Gm25471
SNORD116-5	Gm25471
SNORD116-1	Gm25471
SNORD116-6	Gm25471
SNORD116-2	Gm25471
SNORD116-9	Gm25471
RF00108	Gm25471
	Gm23038
	Mir741
	Gm22433
	Gm24377
	Gm24554
	Mir466c-2
	Gm24687
RNU7-48P	Gm25010
	Gm25198
RNU6-307P	Gm24097
	Gm24998
RNA5SP120	n-R5s54
RF00001	n-R5s54
	Gm23872
	Snora26
	Mir5101
IMPACT	Impact
RNU1-17P	Gm23121
	Gm24561
	Gm44355
	Gm26328
RF00402	Gm22765
SNORA25B	Gm22765
SNORA25	Gm22765
RF00402	Gm22765
	Gm24520
	Gm25378
	Gm26288
RNA5SP113	n-R5s43
	Mir465d
	Mir365-1
PCGF6	Pcgf6
	n-R5s136
	Gm22722
	Mir212
RNU6-269P	Gm22686
SAP130	Sap130
	Gm25194
RF00278	Gm26135
	Mir3544
	Gm27618
	Gm26138
	Mir6356
SNORD12	Snord12
RF00554	Gm24130
RF00554	Gm24130
RF00554	Gm24130
RF00554	Gm24130
SNORA48	Gm24130
RF00554	Gm24130
RF00554	Gm24130
RF00554	Gm24130
RF00554	Gm24130
RF00554	Gm24130
SNORA48B	Gm24130
RF00554	Gm24130
RF00554	Gm24130
RAB18	Rab18
	Gm23458
RNU1-78P	Gm23054
RNU1-119P	Gm23054
	Gm24913
	Gm25036
	Gm10217
RNA5SP303	Gm24509
RNA5SP498	Gm24509
	n-R5s218
	Gm22334
	n-R5s159
RNVU1-1	Gm25679
RNVU1-3	Gm25679
RNVU1-6	Gm25679
RNVU1-4	Gm25679
RF00003	Gm25679
	Mir34a
SCARNA14	Gm24289
SNORD114-27	Gm24598
RF00407	Gm22711
HBEGF	Hbegf
SP110	AC168977.1
	Rnu3b3
	Gm25336
COMMD10	Commd10
RN7SKP110	Gm22604
	Gm23579
CDC25C	Cdc25c
	Gm26394
SNORD100	Snord100
	Zfp820
	Gm22170
RNU7-48P	Gm27851
TOP3B	Top3b
	Gm24414
ATP6V0E1	Atp6v0e
	Mir6541
	Rnu6
	Gm22709
	Gm25557
RF02089	Gm27793
	Gm27601
	Gm22395
	Gm21852
	Mir7221
ELOB	Elob
GPR151	Gpr151
	Mir505
	Mir466j
	Gm21900
	Gm25243
	Gm22860
	Mir702
	Gm26443
	Btbd35f25
	Mir297-1
	Gm23485
PNLDC1	Pnldc1
GNPTG	Gnptg
	Mir30c-1
GRPEL2	Grpel2
	Mir5127
	Mir3061
FAM170A	Fam170a
	Gm24754
SNORA32	Gm24412
RF00421	Gm24412
LRRC30	Lrrc30
PDIA5	Pdia5
	Gm22518
RF02120	Gm27987
ZNF608	Zfp608
	Gm6899
	Gm47286
	Gm23632
	Gm23776
	Gm47287
SNORD116-3	Snord116l15
SNORD116-8	Snord116l15
SNORD116-4	Snord116l15
SNORD116-7	Snord116l15
SNORD116-5	Snord116l15
SNORD116-1	Snord116l15
SNORD116-6	Snord116l15
SNORD116-2	Snord116l15
SNORD116-9	Snord116l15
RF00108	Snord116l15
SP100	AC133103.3
SP140L	AC133103.3
SCARNA23	Gm23557
SLC8A1	Slc8a1
	Gm44382
	Gm23195
RNU6-508P	Gm23035
	Gm25687
	Gm24135
	Gm24187
	Gm26233
	4921524L21Rik
SNORD116-3	Gm22631
SNORD116-8	Gm22631
SNORD116-4	Gm22631
SNORD116-7	Gm22631
SNORD116-5	Gm22631
SNORD116-1	Gm22631
SNORD116-6	Gm22631
SNORD116-2	Gm22631
SNORD116-9	Gm22631
RF00108	Gm22631
	Gm23837
RNU7-48P	Gm22100
RF00136	Gm25789
MEIOB	Meiob
	Gm44383
	Gm10042
SCARF2	Scarf2
ZDHHC8	Zdhhc8
	Gm22558
CSTA	BC117090
RNU2-5P	Gm26020
RNU2-7P	Gm26020
	Gm11077
B4GALT6	B4galt6
	AC154296.1
PFDN1	Pfdn1
	Gm26257
CHSY3	Chsy3
RF00026	Gm23104
DYNLT1	Dynlt1f
	Gm21866
	Gm23327
MLST8	Mlst8
NETO1	Neto1
	Rpl10-ps2
SNORA72	Gm24061
RF00139	Gm24061
RF00139	Gm24061
RF00139	Gm24061
TUBB6	Tubb6
	Gm9805
	Krtap22-2
RF00096	Gm23182
RF00096	Gm23182
RF00096	Gm23182
RF00096	Gm23182
	Gm9772
	Gm23156
	Gm10382
SNORD116-3	Snord116l17
SNORD116-8	Snord116l17
SNORD116-4	Snord116l17
SNORD116-7	Snord116l17
SNORD116-5	Snord116l17
SNORD116-1	Snord116l17
SNORD116-6	Snord116l17
SNORD116-2	Snord116l17
SNORD116-9	Snord116l17
RF00108	Snord116l17
	Mir6410
RTTN	Rttn
HMGXB3	Hmgxb3
	Mir7689
RNU4-77P	Gm25366
	Gm5453
RNA5SP395	n-R5s155
YIPF5	Yipf5
DAND5	Dand5
	Gm27672
	Esp4
	Gm6365
RNU6-1130P	Gm25143
RNU6-160P	Gm25143
	9330132A10Rik
	Gm25406
RNA5SP282	Gm23756
	Gm6030
RF00026	Gm24296
	Mir8100
RF00026	Gm24892
	Gm23997
	Gm10645
DYNLT1	Dynlt1
RNU1-54P	Gm24929
	Gm22707
CPOX	Cpox
	Gm25993
	Gm16686
	Gm24764
THAP7	Thap7
GTF2F1	Gtf2f1
MAP3K13	Map3k13
CDC5L	Cdc5l
RN7SKP158	Gm25655
EPB41L4A	Epb41l4a
PGGT1B	Pggt1b
	Mir7081
SNORA80D	Gm25125
	Gm10306
RNU7-48P	Gm27510
RF00019	Gm24184
ARAP3	Arap3
RF01950	Gm27539
	Mir3083
RF00287	Gm23212
	Gm23989
	Mir344c
RNU1-125P	Gm25153
RNU6-503P	Gm24839
	Gm25981
RNU6-25P	Gm24565
	Gm25613
	Gm26048
	Gm25595
	Gm44365
IL17B	Il17b
	Gm26229
	Gm27785
	Mir6338
	Gm23354
	Mir6343
	Mir1946a
	Gm47303
	Gm23791
RNU12	Rnu12
	Gm1968
RNU6-718P	Gm23032
RN7SL674P	Gm22701
SNORD114-14	Gm25856
RF00181	Gm25856
FAM205A	Fam205a3
PRELID3A	Prelid3a
RNU6-497P	Gm26063
MC5R	Mc5r
	Mir3070a
	Mir6395
PKD2L2	Pkd2l2
	Gm26099
	Gm26058
	Gm24242
KRTAP26-1	Krtap26-1
CIDEA	Cidea
	Gm25167
	Gm23992
	Gm24831
PARD6G	Pard6g
SNORD116-3	Snord116l11
SNORD116-8	Snord116l11
SNORD116-4	Snord116l11
SNORD116-7	Snord116l11
SNORD116-5	Snord116l11
SNORD116-1	Snord116l11
SNORD116-6	Snord116l11
SNORD116-2	Snord116l11
SNORD116-9	Snord116l11
RF00108	Snord116l11
	Mir7044
SNORA75	Snora75
	Gm17304
RNU11-2P	Gm22472
RNU11-6P	Gm22472
	Mir411
	Gm25301
CTIF	Ctif
CSTA	Stfa2
	Mirlet7c-2
	Gm23449
SP140	AC125149.2
YEATS2	Yeats2
RNU6-220P	Gm23059
RNU6-613P	Gm23059
RF00424	Gm25434
RF00424	Gm25434
RF00424	Gm25434
RF00424	Gm25434
RF00424	Gm25434
	Gm17333
	Gm23078
RN7SKP62	Gm23409
RF00086	Gm24452
SNORD27	Gm24452
SNORA63	Gm22864
	Gm10229
	Gm10801
HSPBAP1	Hspbap1
	Gm25950
	Gm24152
SNORD121A	Gm24837
	Mir1894
	Mir1901
	Mir3087
	Mir688
SNORA61	Gm24900
	Gm25643
	Esp8
	Mir3470b
UBTD1	Ubtd1
	Gm23251
	Gm24747
	Gm26195
	Gm25829
	Gm25093
RNA5SP225	Gm23799
RNA5SP490	Gm23799
LONP1	Lonp1
	Gm23231
	2410024N13Rik
RNU1-35P	Gm24046
SLC37A1	Slc37a1
	Gm11116
RNU6-445P	Gm24596
	Gm24996
	Snord47
RN7SKP172	Gm22325
	Gm25882
	Gm23826
PREPL	Prepl
	Mir7082
	Gm24032
TBC1D10C	Tbc1d10c
	Gm25089
RNU6-135P	Gm24842
CYP1B1	Cyp1b1
NIT2	Nit2
RF00263	Gm23877
SNORA68B	Gm23877
RF00017	Gm22906
	Gm24389
	Gm23948
	Gm24028
	Gm24194
RNU6-924P	Gm22740
CNNM2	Cnnm2
	Gm25760
RNA5SP271	Gm22535
RNU6-1296P	Gm25982
SNORD113-6	Gm22962
RNU6-280P	Gm24499
RNU6-1289P	Gm24499
RNU6-1316P	Gm24499
RNU6-1071P	Gm24499
RNU6-793P	Gm24499
RNU6-1171P	Gm24499
RNU6-1010P	Gm24499
RNU6-465P	Gm24499
RNU6-1081P	Gm24499
RNU6-639P	Gm24499
	Mir330
	Gm24140
SNORD95	Gm25296
	Mir181b-1
	Mir466b-7
	Gm24677
	Gm25758
RF00394	Gm24460
RF00394	Gm24460
RF00394	Gm24460
COX14	Cox14
	Mir6977
SOD2	Sod2
SOD2	Sod2
SNORD98	Snord98
	Mir7228
	Gm22371
	Gm27631
XRCC5	Xrcc5
	Mir6377
	Gm25399
RNU5E-3P	Gm23102
RNU5B-6P	Gm23102
	Gm22616
TMEM173	Tmem173
	Gm47304
	Gm25931
SNORD53B	Gm22858
SNORD57	Snord57
	Gm17542
	Gm25060
	Gm26190
RNU6-437P	Gm26133
NPAS4	Npas4
	Gm25978
	Gm22074
	Gm8334
	Gm22692
	Mir491
	Mir7039
	Mir669a-6
	Mir294
RNU6-365P	Gm25920
	Gm25722
	Gm22716
RNA5SP306	n-R5s72
	Mir8106
	Gm26181
SNORD115-48	Gm22496
RF00105	Gm22496
SNORA32	Gm22459
RF00421	Gm22459
SLC25A27	Slc25a27
	Mir5134
SNORD116-3	Gm23089
SNORD116-8	Gm23089
SNORD116-4	Gm23089
SNORD116-7	Gm23089
SNORD116-5	Gm23089
SNORD116-1	Gm23089
SNORD116-6	Gm23089
SNORD116-2	Gm23089
SNORD116-9	Gm23089
RF00108	Gm23089
	Gm25770
SNORD116-3	Gm26097
SNORD116-8	Gm26097
SNORD116-4	Gm26097
SNORD116-7	Gm26097
SNORD116-5	Gm26097
SNORD116-1	Gm26097
SNORD116-6	Gm26097
SNORD116-2	Gm26097
SNORD116-9	Gm26097
RF00108	Gm26097
	Gm23292
	Gm22347
	Gm24924
	Esp23
	Gm23666
	Gm24197
	Mir7218
	Gm23164
	Gm44300
DENND1C	Dennd1c
	Gm26096
POLA2	Pola2
	Gm27952
	Gm25707
SNORA5C	Snora5c
	Mir7022
	Gm23935
	Gm44497
	Gm23576
PRAMEF20	AC126035.1
PRAMEF4	AC126035.1
PRAMEF25	AC126035.1
PRAMEF6	AC126035.1
PRAMEF14	AC126035.1
PRAMEF18	AC126035.1
PRAMEF7	AC126035.1
PRAMEF10	AC126035.1
PRAMEF17	AC126035.1
PRAMEF11	AC126035.1
PRAMEF1	AC126035.1
PRAMEF19	AC126035.1
PRAMEF27	AC126035.1
PRAMEF15	AC126035.1
PRAMEF2	AC126035.1
PRAMEF12	AC126035.1
PRAMEF13	AC126035.1
PRAMEF33	AC126035.1
PRAMEF8	AC126035.1
PRAMEF5	AC126035.1
PRAMEF9	AC126035.1
PRAMEF26	AC126035.1
	Gm22337
	Gm22657
AHNAK	Ahnak
	Mir6354
	Gm25064
	Gm24757
	Gm22831
	Gm25986
	Mir1198
	Mir3085
	Gm21679
SNORD12B	Gm24123
RNU6-386P	Gm24400
	Mir19b-2
	Gm26297
	Gm23450
LAMA1	Lama1
	Gm26007
RN7SL337P	Gm27853
RF00017	Gm27853
RN7SL706P	Gm27853
RN7SL697P	Gm27853
RN7SL297P	Gm27853
RN7SL776P	Gm27853
RN7SL842P	Gm27853
RN7SL370P	Gm27853
RN7SL372P	Gm27853
RN7SL39P	Gm27853
RN7SL714P	Gm27853
RN7SL629P	Gm27853
RN7SL663P	Gm27853
RN7SL846P	Gm27853
RN7SL520P	Gm27853
RN7SL441P	Gm27853
RN7SL635P	Gm27853
RN7SL503P	Gm27853
RN7SL105P	Gm27853
RN7SL843P	Gm27853
TXNDC2	Txndc2
CALHM1	Calhm1
	Gm5513
	Gm26078
RNU6ATAC2P	Gm26044
	Mir450-1
	Gm24138
UNC93A	Gm9992
SLC29A2	Slc29a2
	Mir7014
RNU6-524P	Gm22975
RNU6-723P	Gm22975
RNU6-647P	Gm22975
	Gm21776
SCAND1	Scand1
	Gm27813
	Gm26182
	Gm27997
RF01964	Gm27419
SPRY3	Spry3
SCARNA1	Gm22767
RNA5SP269	Gm27355
RNA5SP495	Gm27355
	Gm24859
	Gm23835
	Gm25875
	Mir3473d
	Mir6404
CASP1	Casp1
	Gm24213
	Gm26308
RF02205	Gm27308
	Gm44377
	Gm22450
RNU6-821P	Gm22019
RNU6-538P	Gm22019
RNU6-368P	Gm22019
RNU6-1193P	Gm22019
RNU6-1269P	Gm22019
RF00026	Gm22019
RNU6-55P	Gm22019
RNU6-798P	Gm22019
