sample_ID,genes,transgene.tpm,transgene.count,all.count.sample,protein_microgram,protein_nmol
P6975_101,GNAS,5597.038909,31980,12273152,691,27.94403106
P6975_102,FCER2,21732.20372,251015,16740679,217,6.435540793
P6975_103,PGLYRP4,12636.52001,170690,13688781,708,17.28768863
P6975_104,CCL14,77993.61367,96414,13608601,206,19.3118965
P6975_105,NXPH2,57652.8293,441575,13271324,503,17.28462939
P6975_106,NXPH3,39518.53039,319824,14191106,986,35.3798127
P6975_107,NXPH4,13416.14573,146215,14655756,269,8.265732547
P6975_108,CHIT1,677.4425307,10570,13580106,958,20.62743578
P6975_109,WFDC12,26412.72404,51821,13560645,281,23.5461706
P6975_110,CD209,28662.7751,490108,15734203,561,13.43455146
P6975_111,ANGPTL2,16942.43396,325372,13522401,219,3.840690272
P6975_112,FST,17597.02056,234009,15445776,144,3.887269193
P6975_113,NCAM1,13297.40243,349803,13963179,1141,15.51853111
P6975_114,ALB,15009.11547,356971,14045319,891,12.82697263
P6975_115,EDDM3B,52389.40505,201682,15307602,233,13.60266215
P6975_116,CER1,18036.45029,161183,13782237,513,16.94803264
P6975_117,ACVR2A,74418.70254,136032,7691271,230,14.37859465
P6975_118,OIT3,1218.636235,18394,9878228,141,2.332660557
P6975_119,SRPX,18188.4594,196209,8322364,220,4.351868336
P6975_120,NXPH1,61074.62302,307209,7549096,514,16.60260344
P6975_121,BSG,39420.99179,290215,9286928,669,18.7763121
P6975_122,ADIPOQ,23711.95605,140269,9902649,744,27.35193559
P6975_123,COL1A2,461.7531975,14517,9520796,1001,10.59954679
P6975_124,ITIH4,946.7956788,24131,8538907,340,3.30231745
P6975_125,PROC,4815.90889,106018,15702297,223,4.286400769
P6975_126,CTSL,9794.865562,160726,18483738,640,16.60914022
P6975_127,MMP9,5960.620696,188563,15694674,279,3.530438964
P6975_128,BTBD17,2964.257218,67061,15611154,140,2.720031086
P6975_129,IL17B,24303.34735,154722,16707507,328,16.20233156
P6975_130,AGA,23371.14881,345500,15999464,586,15.89842372
P6975_131,SERPINE2,13438.3066,221476,14928923,406,9.209899508
P6975_132,SERPINA6,21459.45064,360564,17081023,571,12.7293399
P6975_133,SERPINA5,5905.655486,110194,15403976,350,7.633421299
P6975_134,RETN,1138.977256,2985,18083926,804,67.73948943
P6975_135,LACTB,10571.88019,277904,17029388,194,3.169572108
P6975_136,NAMPT,15176.76693,393854,17264867,1129,19.55316938
P6975_137,CD6,21703.28963,348593,15553413,524,12.1826467
P6975_138,CCL21,30960.27618,102825,16565505,1922,132.8265377
P6975_139,EPYC,115.2570521,1498,16000712,2390,64.30608621
P6975_140,PZP,1809.160049,136157,16763508,3145,19.2002442
P6975_141,COL2A1,3551.795944,205752,15979954,3279,33.36691394
P6975_142,CXCL5,56664.83261,125553,20660926,5388,512.9474486
P6975_143,PINLYP,19246.28523,149584,17140483,1319,62.09688809
P6975_144,ENG,11997.66558,384254,17225454,1373,21.69344773
P6975_145,C6,6225.273824,294967,16749445,1392,13.30389655
P6975_146,FCN2,5730.828476,75883,16740646,1445,42.98676186
P6975_147,CTF1,17125.91366,142271,17401422,1673,71.35545509
P6975_148,MFAP4,19720.84476,210273,16404533,1715,59.53000798
P6975_149,H6PD,3868.741677,143258,14310025,1720,19.31846261
P6975_150,MAN2B1,5983.999345,303383,16513019,1736,15.64936762
P6975_151,HSP90B1,11951.02738,499489,16915625,1294,14.00493528
P6975_152,IL22,0,0,16418595,1298,68.43104175
P6975_153,ASGR1,32836.07182,340848,14679833,29,0.924685926
P6975_154,SVEP1,70.39479119,12447,15112848,33,0.084507908
P6975_155,FGFBP3,2035.13681,21415,14684270,49,1.797571444
P6975_156,NCF1,6103.445666,108674,15212634,50,1.066780457
P6975_157,AGPS,1154.53344,37214,15081966,65,0.885474137
P6975_158,ST6GAL1,10721.16819,221317,16709683,78,1.703651931
P6975_159,FURIN_1,2097.13098,33334,15958535,79,1.164796603
P6975_160,PCSK1,5126.43373,213844,15448781,81,0.972272236
P6975_161,FN1,64.97796957,7375,14660543,83,0.315735817
P6975_162,SHH,5427.463505,111217,16045199,84,1.698926036
P6975_163,PAMR1,1933.903507,64633,15471571,85,1.06647261
P6975_164,PPY,56616.99844,96811,17303975,88,8.307372793
P6975_165,VIP,43860.79723,227588,14870494,89,4.655785729
P6975_166,KL,3229.476545,151865,17022696,93,0.835894947
P6975_167,LGALS3,35417.05177,426619,16271109,93,3.277995136
P6975_168,HMGB1,58960.96023,625439,16738785,102,3.762171732
P6975_169,BCHE,848.3213319,28679,16373311,105,1.550021405
P6975_170,CHAD,13400.70315,222073,16391323,112,2.76209031
P6975_171,HGF,2954.735778,112664,14857883,115,1.396054628
P6975_172,MYL1,7662.081822,49009,15718193,361,17.10981563
P6975_173,SERPINA9,15017.27683,293680,16907404,818,17.57665614
