GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024QZ26	HDAC6	involved_in	GO:0098779	positive regulation of mitophagy in response to mitochondrial depolarization	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z2V5|ensembl:ENSMUSP00000033501	9606	Ensembl		P
UniProtKB	A0A024QZ26	HDAC6	involved_in	GO:0071218	cellular response to misfolded protein	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z2V5|ensembl:ENSMUSP00000033501	9606	Ensembl		P
UniProtKB	A0A024QZC4	P8	involved_in	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9WTK0|ensembl:ENSMUSP00000032961	9606	Ensembl		P
UniProtKB	A0A024QZQ1	SIRT1	involved_in	GO:0000731	DNA synthesis involved in DNA repair	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q923E4|ensembl:ENSMUSP00000112595	9606	Ensembl		P
UniProtKB	A0A024QZQ1	SIRT1	involved_in	GO:0000720	pyrimidine dimer repair by nucleotide-excision repair	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q923E4|ensembl:ENSMUSP00000112595	9606	Ensembl		P
UniProtKB	A0A024QZQ1	SIRT1	involved_in	GO:0009267	cellular response to starvation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q923E4|ensembl:ENSMUSP00000112595	9606	Ensembl		P
UniProtKB	A0A024QZQ1	SIRT1	involved_in	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q923E4|ensembl:ENSMUSP00000112595	9606	Ensembl		P
UniProtKB	A0A024QZQ6	DDIT4	involved_in	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9D3F7|ensembl:ENSMUSP00000020308	9606	Ensembl		P
UniProtKB	A0A024QZS4	PPIF	involved_in	GO:0070301	cellular response to hydrogen peroxide	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q99KR7|ensembl:ENSMUSP00000022419	9606	Ensembl		P
UniProtKB	A0A024QZU0	RIPK1	involved_in	GO:0070301	cellular response to hydrogen peroxide	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q60855|ensembl:ENSMUSP00000129831	9606	Ensembl		P
UniProtKB	A0A024R045	hCG_37731	involved_in	GO:0000077	DNA damage checkpoint signaling	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003011|InterPro:IPR003021	9606	InterPro		P
UniProtKB	A0A024R045	hCG_37731	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R045	hCG_37731	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R0I2	SYCP1	involved_in	GO:0000711	meiotic DNA repair synthesis	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62209|ensembl:ENSMUSP00000029448	9606	Ensembl		P
UniProtKB	A0A024R0Q6	ERCC1	involved_in	GO:0006281	DNA repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004579	9606	InterPro		P
UniProtKB	A0A024R0Q6	ERCC1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R0Q6	ERCC1	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R0Q6	ERCC1	involved_in	GO:0000720	pyrimidine dimer repair by nucleotide-excision repair	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P07903|ensembl:ENSMUSP00000003645	9606	Ensembl		P
UniProtKB	A0A024R0Q6	ERCC1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P07903|ensembl:ENSMUSP00000003645	9606	Ensembl		P
UniProtKB	A0A024R0Q6	ERCC1	involved_in	GO:0006302	double-strand break repair	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P07903|ensembl:ENSMUSP00000003645	9606	Ensembl		P
UniProtKB	A0A024R0Q6	ERCC1	involved_in	GO:0006289	nucleotide-excision repair	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P07903|ensembl:ENSMUSP00000003645	9606	Ensembl		P
UniProtKB	A0A024R0Q6	ERCC1	involved_in	GO:0006281	DNA repair	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P07903|ensembl:ENSMUSP00000003645	9606	Ensembl		P
UniProtKB	A0A024R0Q6	ERCC1	involved_in	GO:0036297	interstrand cross-link repair	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P07903|ensembl:ENSMUSP00000003645	9606	Ensembl		P
UniProtKB	A0A024R0Q6	ERCC1	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000117	ARBA:ARBA00027316	9606	UniProt		P
UniProtKB	A0A024R0R3	FOXA3	involved_in	GO:0009267	cellular response to starvation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P35584|ensembl:ENSMUSP00000043173	9606	Ensembl		P
UniProtKB	A0A024R0S8	XRCC1	involved_in	GO:0000012	single strand break repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002706|InterPro:IPR045080	9606	InterPro		P
UniProtKB	A0A024R0S8	XRCC1	involved_in	GO:0006303	double-strand break repair via nonhomologous end joining	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR045080	9606	InterPro		P
UniProtKB	A0A024R0S8	XRCC1	involved_in	GO:0006284	base-excision repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR045080	9606	InterPro		P
UniProtKB	A0A024R0S8	XRCC1	involved_in	GO:0006974	cellular response to DNA damage stimulus	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A0A024R0S8	XRCC1	involved_in	GO:0006281	DNA repair	ECO:0007669	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A0A024R0W3	SLC38A2	involved_in	GO:0034198	cellular response to amino acid starvation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9JHE5|ensembl:ENSRNOP00000031532	9606	Ensembl		P
UniProtKB	A0A024R0Z5	TEGT	involved_in	GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9D2C7|ensembl:ENSMUSP00000023749	9606	Ensembl		P
