GeneID	GeneSymbol	Chrom	TrAccess	PrAccess	TrID
-	-	NC_007936.1	-	-	rna41546
-	-	NC_007936.1	-	-	rna41536
-	-	NC_007936.1	-	-	rna41537
-	-	NC_007936.1	-	-	rna41539
-	-	NC_007936.1	-	-	rna41540
-	-	NC_007936.1	-	-	rna41541
-	-	NC_007936.1	-	-	rna41542
-	-	NC_007936.1	-	-	rna41543
-	-	NC_007936.1	-	-	rna41544
-	-	NC_007936.1	-	-	rna41545
-	-	NC_007936.1	-	-	rna41535
-	-	NC_007936.1	-	-	rna41547
-	-	NC_007936.1	-	-	rna41549
-	-	NC_007936.1	-	-	rna41550
-	-	NC_007936.1	-	-	rna41551
-	-	NC_007936.1	-	-	rna41552
-	-	NC_007936.1	-	-	rna41553
-	-	NC_007936.1	-	-	rna41554
-	-	NC_007936.1	-	-	rna41555
-	-	NC_007936.1	-	-	rna41556
-	-	NC_007936.1	-	-	rna41557
-	-	NC_007936.1	-	-	rna41548
-	-	NC_007936.1	-	-	rna41534
-	-	NC_007936.1	-	-	rna41538
100682525	Tp53	NW_003613643.1	NM_001243976.1	NP_001230905.1	rna4489
100682526	Tuba1c	NW_003614949.1	NM_001243977.1	NP_001230906.1	rna31760
100682528	Tuba1b	NW_003614949.1	NM_001243979.1	NP_001230908.1	rna31766
100682529	Mgat1	NW_003614027.1	XM_007644559.2	XP_007642749.1	rna18250
100682529	Mgat1	NW_003614027.1	XM_007644561.2	XP_007642751.1	rna18252
100682529	Mgat1	NW_003614027.1	XM_007644560.2	XP_007642750.1	rna18251
100682529	Mgat1	NW_003614027.1	NM_001243980.1	NP_001230909.1	rna18253
100682530	Plec	NW_003614411.1	XM_007648250.2	XP_007646440.1	rna25660
100682531	Kif23	NW_003613709.1	NM_001243981.1	NP_001230910.1	rna8126
100682532	Manea	NW_003613662.1	NM_001243982.1	NP_001230911.1	rna5569
100682533	Aimp2	NW_003613618.1	NM_001243983.1	NP_001230912.1	rna2727
100682534	Furin	NW_003616071.1	NM_001243986.1	NP_001230915.1	rna37143
100682535	Abcb4	NW_003614224.1	NM_001243987.1	NP_001230916.1	rna22752
100682536	Abcb1	NW_003614224.1	XM_007646773.2	XP_007644963.1	rna22739
100682536	Abcb1	NW_003614224.1	XM_007646772.2	XP_007644962.1	rna22738
100682536	Abcb1	NW_003614224.1	NM_001243988.1	NP_001230917.1	rna22737
100682537	Abcb1b	NW_003614224.1	XM_007646776.2	XP_007644966.1	rna22746
100682537	Abcb1b	NW_003614224.1	XM_007646777.2	XP_007644967.1	rna22747
100682537	Abcb1b	NW_003614224.1	XM_007646775.2	XP_007644965.1	rna22751
100682537	Abcb1b	NW_003614224.1	NM_001243989.1	NP_001230918.1	rna22750
100682537	Abcb1b	NW_003614224.1	XM_007646774.2	XP_007644964.1	rna22745
100682537	Abcb1b	NW_003614224.1	XM_016977481.1	XP_016832970.1	rna22749
100682537	Abcb1b	NW_003614224.1	XM_016977482.1	XP_016832971.1	rna22748
100682538	Ahr	NW_003614295.1	NM_001243990.1	NP_001230919.1	rna23832
100682539	Slc35c2	NW_003613798.1	NM_001243991.2	NP_001230920.1	rna11333
100684971	Adam17	NW_003616360.1	NM_001243992.1	NP_001230921.1	rna37973
100689008	LOC100689008	NW_003620160.1	XM_007607909.1	XP_007606099.1	rna40792
100689009	LOC100689009	NW_003614548.1	XM_007649103.2	XP_007647293.2	rna27365
100689010	LOC100689010	NW_003614196.1	XM_007646385.2	XP_007644575.1	rna21987
100689011	LOC100689011	NW_003614196.1	XM_007646351.1	XP_007644541.1	rna21983
