mouseSymbol,choSymbol
Gm27357,RF01874
Ndc80,Ndc80
Syt4,Syt4
Ccdc87,Ccdc87
Atrnl1,Atrnl1
Ctnna1,Ctnna1
Krtap24-1,Krtap24-1
Fzd8,Fzd8
Fam170a,Fam170a
Scarf2,Scarf2
Zdhhc8,Zdhhc8
Neto1,Neto1
Rttn,Rttn
Gm10645,Gm10645
Epb41l4a,Epb41l4a
Gm10306,Gm10306
Cyp1b1,Cyp1b1
Cnnm2,Cnnm2
Ahnak,Ahnak
Scand1,Scand1
Patl1,Patl1
Prr16,Prr16
Gm9970,Gm9970
Bambi,Bambi
Ccny,Ccny
Papss2,Papss2
Uqcc3,Uqcc3
Rax,Rax
Cbwd1,Cbwd1
Myom1,Myom1
9130213A22Rik,9130213A22Rik
Tmx3,Tmx3
Spink1,Spink1
Incenp,Incenp
Borcs7,Borcs7
Gm9922,Gm9922
Nanos1,Nanos1
Gm26657,Gm26657
Fahd1,Fahd1
D330020A13Rik,D330020A13Rik
Gm9887,Gm9887
Dsg3,Dsg3
Wnt8a,Wnt8a
Gm27762,RF02180
Memo1,Memo1
Tmem2,Tmem2
D930007J09Rik,D930007J09Rik
Slc5a7,Slc5a7
Map6d1,Map6d1
Gm24572,Gm24572
Rps6ka2,Rps6ka2
Krtap13,Krtap13
Carnmt1,Carnmt1
Tjp2,Tjp2
Adrb1,Adrb1
Trpm3,Trpm3
Xpo5,Xpo5
Ndfip1,Ndfip1
Lrrc10b,Lrrc10b
Scd2,Scd2
Ccdc54,Ccdc54
2310039H08Rik,2310039H08Rik
B930094E09Rik,B930094E09Rik
Atad1,Atad1
AI846148,AI846148
Hspa12a,Hspa12a
Usp25,Usp25
Gp1bb,Gp1bb
Tmem200c,Tmem200c
Gm94,Gm94
E130208F15Rik,E130208F15Rik
Sos1,Sos1
Tbc1d12,Tbc1d12
Trpd52l3,Trpd52l3
Cfap58,Cfap58
Prlhr,Prlhr
Lemd2,Lemd2
Pgk2,Pgk2
Cd248,Cd248
Slc25a46,Slc25a46
Pudp,Pudp
Tmem191c,Tmem191c
Gm21834,Gm21834
Gm10642,Gm10642
Gm17349,Gm17349
Gm24407,RF00015
Pcsk5,Pcsk5
Gm10197,Gm10197
Dock8,Dock8
Gldc,Gldc
Mlana,Mlana
Pnliprp2,Pnliprp2
Gm17728,Gm17728
Gm26558,Gm26558
Gm10190,Gm10190
Gm17416,Gm17416
Gm22571,RF01159
Sh3pxd2a,Sh3pxd2a
Atp6v1e2,Atp6v1e2
Ubxn1,Ubxn1
Garem1,Garem1
Gm27838,RF02118
Slc25a28,Slc25a28
Sac3d1,Sac3d1
E130116L18Rik,E130116L18Rik
Gm10065,Gm10065
Ttr,Ttr
Btbd9,Btbd9
Ptk7,Ptk7
Has1,Has1
Colec12,Colec12
Rnf14,Rnf14
Htr1f,Htr1f
Gata6,Gata6
Cep78,Cep78
Ube2l3,Ube2l3
Sil1,Sil1
Prelid2,Prelid2
