humanID,choID,humanSymbol
1,100759976,A1BG
1,103161090,A1BG
1,100759881,A1BG
2,100760619,A2M
2,100760909,A2M
2,100755770,A2M
9,100755335,NAT1
10,100689282,NAT2
12,100763955,SERPINA3
12,100764848,SERPINA3
12,100764548,SERPINA3
12,100763668,SERPINA3
12,100764251,SERPINA3
12,100760187,SERPINA3
13,100771815,AADAC
14,100775009,AAMP
15,100755392,AANAT
16,100766178,AARS
18,100765485,ABAT
19,100761226,ABCA1
20,100772799,ABCA2
21,100770874,ABCA3
21,100767045,ABCA3
21,103158663,ABCA3
21,100771037,ABCA3
21,100760380,ABCA3
21,100770749,ABCA3
22,100766714,ABCB7
23,100765933,ABCF1
24,100767638,ABCA4
25,100768098,ABL1
26,100771382,AOC1
26,100763954,AOC1
27,100772469,ABL2
28,100772592,ABO
28,100754666,ABO
28,100758032,ABO
29,100762348,ABR
30,100754813,ACAA1
30,100753943,ACAA1
31,100689225,ACACA
31,100762904,ACACA
32,100753124,ACACB
33,100759026,ACADL
34,100763159,ACADM
35,100774097,ACADS
36,100766828,ACADSB
37,103158536,ACADVL
37,100767527,ACADVL
38,100770936,ACAT1
39,100760000,ACAT2
39,103163371,ACAT2
40,100762972,ASIC2
41,100751471,ASIC1
43,100770679,ACHE
47,100773325,ACLY
48,100766024,ACO1
49,100754856,ACR
50,100759203,ACO2
51,100689199,ACOX1
52,100773599,ACP1
53,100756404,ACP2
54,100768228,ACP5
55,100763644,ACPP
56,100752850,ACRV1
56,103162830,ACRV1
56,103162827,ACRV1
56,100750453,ACRV1
56,100751623,ACRV1
56,103162261,ACRV1
56,100751038,ACRV1
58,100768972,ACTA1
59,100758575,ACTA2
60,100689477,ACTB
70,100766388,ACTC1
71,100764022,ACTG1
72,100768744,ACTG2
81,100766890,ACTN4
86,100757342,ACTL6A
87,100755831,ACTN1
88,100765161,ACTN2
89,100756672,ACTN3
90,100758565,ACVR1
91,100764812,ACVR1B
92,100774605,ACVR2A
93,100755103,ACVR2B
94,100764896,ACVRL1
95,100765707,ACY1
97,100755378,ACYP1
98,100758982,ACYP2
100,100756254,ADA
101,100770949,ADAM8
102,100772891,ADAM10
103,100760578,ADAR
104,100755658,ADARB1
105,100759087,ADARB2
107,100764561,ADCY1
108,100773811,ADCY2
109,100770498,ADCY3
109,103158658,ADCY3
111,100765958,ADCY5
112,100768368,ADCY6
113,100756132,ADCY7
114,103162985,ADCY8
115,100751372,ADCY9
116,100760233,ADCYAP1
117,100772260,ADCYAP1R1
118,100768168,ADD1
119,100753858,ADD2
120,100754769,ADD3
123,100756213,PLIN2
124,100760081,ADH1A
124,100766767,ADH1A
124,100767342,ADH1A
124,100773005,ADH1A
124,100756617,ADH1A
127,100767633,ADH4
128,100767929,ADH5
130,100767061,ADH6
131,100759210,ADH7
132,100736551,ADK
133,100760129,ADM
134,100751346,ADORA1
135,100762652,ADORA2A
136,100759954,ADORA2B
140,100773958,ADORA3
140,100755732,ADORA3
141,100761196,ADPRH
142,100689463,PARP1
143,100765231,PARP4
146,100772819,ADRA1D
147,103160164,ADRA1B
148,100758859,ADRA1A
150,100768369,ADRA2A
151,100757384,ADRA2B
152,103161652,ADRA2C
154,100758902,ADRB2
155,100775030,ADRB3
156,100762552,GRK2
157,100761290,GRK3
158,100689060,ADSL
159,100767083,ADSS
160,100772481,AP2A1
161,100755406,AP2A2
